m,trabajos,ordenes,OPT,C_LPT,distribucion,LS_mejor_que_LPT
2,"[3, 3, 2, 2, 2]",120,6,7,"{6: 24, 7: 96}",24 (20.0 %)
3,"[5, 5, 4, 4, 3, 3, 3]",5040,9,11,"{9: 288, 10: 2448, 11: 1728, 12: 576}",2736 (54.3 %)
