n,m,permutacion,makespan
100000,64,4,78909
100000,64,5,78891
100000,64,6,78896
100000,64,7,78905
100000,64,8,78898
100000,64,9,78915
100000,64,10,78914
100000,64,11,78913
100000,64,12,78909
100000,64,13,78899
100000,64,14,78896
100000,64,15,78911
100000,64,16,78907
100000,64,17,78904
100000,64,18,78909
100000,64,19,78907
100000,64,20,78914
100000,64,21,78905
100000,64,22,78902
100000,64,23,78912
100000,64,24,78902
100000,64,25,78905
100000,64,26,78913
100000,64,27,78907
100000,64,28,78910
100000,64,29,78911
100000,64,30,78902
